startTime,Open,High,Low,Close,Volume,Turnover
1709943900000,68294.5,68298.5,68285,68292,520789,7.62609202
1709943960000,68292,68338.5,68290,68307.5,560549,8.2037065
1709944020000,68307.5,68322,68307.5,68322,323895,4.74130391
1709944080000,68322,68329,68316,68316,502510,7.35530837
1709944140000,68316,68316,68294,68301,341742,5.00281591
1709944200000,68301,68301.5,68232,68232,600038,8.78901225
1709944260000,68232,68236.5,68227,68236.5,786770,11.53056547
1709944320000,68236.5,68237.5,68227.5,68229,303107,4.44219776
1709944380000,68229,68229,68209.5,68209.5,1042505,15.28194399
1709944440000,68209.5,68218.5,68201,68202.5,215062,3.15310882
1709944500000,68202.5,68228.5,68200.5,68227.5,646476,9.47757922
1709944560000,68227.5,68253.5,68225.5,68253.5,871317,12.76794282
1709944620000,68253.5,68314.5,68253.5,68312,470318,6.88610037
1709944680000,68312,68328,68312,68328,574620,8.41052503
1709944740000,68328,68335.5,68323.5,68327.5,52648,0.77051867
1709944800000,68327.5,68336.5,68325.5,68325.5,784664,11.48338187
1709944860000,68325.5,68334.5,68312,68317,624753,9.14506145
1709944920000,68317,68319.5,68226,68238,413862,6.05917461
1709944980000,68238,68242.5,68223,68223,434756,6.3709884
1709945040000,68223,68271.5,68223,68271,511445,7.49322752
1709945100000,68271,68300,68271,68300,205242,3.00614276
1709945160000,68300,68302,68274.5,68302,246244,3.60643823
1709945220000,68302,68324.5,68302,68324.5,327585,4.79596993
1709945280000,68324.5,68346.5,68305.5,68346.5,251710,3.68382148
1709945340000,68346.5,68353,68342,68351.5,468927,6.86061575
1709945400000,68351.5,68352,68322,68324,715220,10.46601925
1709945460000,68324,68324.5,68254,68254,1184721,17.34617288
1709945520000,68254,68254,68184.5,68232.5,1692564,24.80845895
1709945580000,68232.5,68269.5,68212.5,68269.5,1720753,25.21912833
1709945640000,68269.5,68299.5,68269.5,68293.5,626658,9.17685418
1709945700000,68293.5,68347,68284,68345,706960,10.34721202
1709945760000,68345,68345.5,68316,68316,543837,7.95870921
1709945820000,68316,68321.5,68280,68293,1053059,15.42101259
1709945880000,68293,68303,68292.5,68296,200241,2.93201152
1709945940000,68296,68310.5,68296,68310.5,153678,2.24999052
1709946000000,68310.5,68310.5,68271,68277.5,1090619,15.9716402
1709946060000,68277.5,68277.5,68248,68251.5,763198,11.18154851
1709946120000,68251.5,68251.5,68213.5,68213.5,848449,12.43577051
1709946180000,68213.5,68223,68201,68201,450447,6.60425979
1709946240000,68201,68216.5,68195,68197,912662,13.38092004
1709946300000,68197,68234,68187.5,68234,732833,10.74450015
1709946360000,68234,68241,68231.5,68231.5,566654,8.30445449
1709946420000,68231.5,68231.5,68193.5,68216.5,644306,9.44661736
1709946480000,68216.5,68227.5,68216.5,68227.5,171022,2.50670694
1709946540000,68227.5,68260.5,68227.5,68260.5,849583,12.44824117
1709946600000,68260.5,68281.5,68260.5,68275,360241,5.27616384
1709946660000,68275,68275,68200.5,68200.5,680481,9.97239379
1709946720000,68200.5,68206,68168.5,68168.5,713912,10.4709388
1709946780000,68168.5,68180,68161.5,68161.5,774091,11.35564938
1709946840000,68161.5,68170,68143,68154,553775,8.12494997
1709946900000,68154,68154,68114,68115.5,712976,10.46516731
1709946960000,68115.5,68135,68115.5,68132.5,526832,7.73285192
1709947020000,68132.5,68152,68131.5,68152,713843,10.47575801
1709947080000,68152,68192,68152,68191.5,545298,7.99753907
1709947140000,68191.5,68196.5,68183,68183,560787,8.22366525
1709947200000,68183,68197,68182,68196,624352,9.15623183
1709947260000,68196,68203.5,68190.5,68190.5,590379,8.6564798
1709947320000,68190.5,68206.5,68190.5,68200,548475,8.04225653
1709947380000,68200,68200.5,68198.5,68198.5,50593,0.74184367
1709947440000,68198.5,68210,68197,68197,291996,4.28143133
1709947500000,68197,68210,68188,68198,412663,6.05035566
1709947560000,68198,68240,68198,68240,13717,0.20109862
1709947620000,68240,68253.5,68228.5,68230,337374,4.94425215
1709947680000,68230,68230,68220,68220,96344,1.41224398
1709947740000,68220,68281,68220,68281,1154853,16.92046599
1709947800000,68281,68341,68280.5,68341,574947,8.41474615
1709947860000,68341,68341.5,68307.5,68307.5,887278,12.98665147
1709947920000,68307.5,68307.5,68272.5,68272.5,431373,6.31623924
1709947980000,68272.5,68292.5,68272.5,68283.5,393517,5.76324521
1709948040000,68283.5,68310,68229.5,68229.5,1256602,18.40584907
1709948100000,68229.5,68248.5,68217.5,68224.5,1218307,17.85631795
1709948160000,68224.5,68224.5,68179,68179,922914,13.53186368
1709948220000,68179,68184.5,68140.5,68140.5,852817,12.51223382
1709948280000,68140.5,68149.5,68108,68108,823164,12.08269574
1709948340000,68108,68129.5,68108,68113,780850,11.46438447
1709948400000,68113,68154.5,68113,68154.5,333164,4.88934104
1709948460000,68154.5,68209,68151,68209,582952,8.55247681
1709948520000,68209,68225,68185,68213.5,532589,7.80802605
1709948580000,68213.5,68213.5,68185,68190.5,293760,4.30822079
1709948640000,68190.5,68190.5,68185,68188,418261,6.13404112
1709948700000,68188,68193.5,68178,68188.5,300222,4.40286355
1709948760000,68188.5,68206,68165.5,68165.5,1014302,14.87321955
1709948820000,68165.5,68171.5,68165.5,68170.5,100183,1.4695946
1709948880000,68170.5,68170.5,68167.5,68167.5,268582,3.93992732
1709948940000,68167.5,68182,68163,68163,287895,4.22282233
1709949000000,68163,68164.5,68114,68145,1206890,17.71074712
1709949060000,68145,68178,68145,68178,573363,8.41110332
1709949120000,68178,68215.5,68176.5,68213,941198,13.7999071
1709949180000,68213,68213.5,68174.5,68175,680027,9.97252407
1709949240000,68175,68175,68160,68165.5,328633,4.82090885
1709949300000,68165.5,68169.5,68122,68122,821274,12.05270347
1709949360000,68122,68122,68107,68110,936470,13.74907236
1709949420000,68110,68130.5,68076,68076,434111,6.373753
1709949480000,68076,68098.5,68075,68098.5,1101168,16.17327649
1709949540000,68098.5,68106.5,68096,68106.5,191231,2.80813129
1709949600000,68106.5,68107.5,68081,68081,696349,10.22609046
1709949660000,68081,68084,68077.5,68077.5,300196,4.4093405
1709949720000,68077.5,68106.5,68077.5,68106.5,726106,10.6630334
1709949780000,68106.5,68186.5,68106.5,68186.5,1549698,22.74088759
1709949840000,68186.5,68196.5,68162.5,68196.5,364092,5.33904616
1709949900000,68196.5,68196.5,68196,68196,100146,1.46849177
1709949960000,68196,68216,68188.5,68191,932131,13.66760994
1709950020000,68191,68208,68190.5,68193,427499,6.26895914
1709950080000,68193,68193,68136,68166.5,952563,13.97745566
1709950140000,68166.5,68166.5,68153,68154,253837,3.72446923
1709950200000,68154,68183,68154,68181.5,437974,6.42415938
1709950260000,68181.5,68185,68180.5,68185,240962,3.53404742
1709950320000,68185,68185,68180.5,68183.5,56339,0.82629103
1709950380000,68183.5,68183.5,68178.5,68181,340840,4.99911104
1709950440000,68181,68182,68111,68118,983304,14.42724481
1709950500000,68118,68162,68118,68129,854664,12.54331776
1709950560000,68129,68146.5,68107,68110.5,351286,5.15751956
1709950620000,68110.5,68161,68106,68161,1158592,17.00491601
1709950680000,68161,68174.5,68152.5,68172.5,876464,12.85798878
1709950740000,68172.5,68172.5,68155.5,68160.5,323528,4.74671438
1709950800000,68160.5,68195.5,68160,68195.5,533440,7.82409374
1709950860000,68195.5,68196,68132,68132,1276436,18.72337676
1709950920000,68132,68147,68131,68147,447971,6.57446273
1709950980000,68147,68152,68146.5,68152,388168,5.69576535
1709951040000,68152,68198,68151.5,68198,411450,6.03487558
1709951100000,68198,68198,68189,68197.5,64310,0.94301033
1709951160000,68197.5,68208,68197.5,68204.5,136412,2.00014995
1709951220000,68204.5,68247,68204.5,68247,500281,7.33170604
1709951280000,68247,68255.5,68236.5,68240,501195,7.34390525
1709951340000,68240,68282.5,68239,68282.5,618687,9.06507295
1709951400000,68282.5,68282.5,68273.5,68276.5,200246,2.93292597
1709951460000,68276.5,68276.5,68247,68248.5,623778,9.13791412
1709951520000,68248.5,68248.5,68237,68237,703719,10.31247577
