startTime,Open,High,Low,Close,Volume,Turnover
1726743900000,63067.5,64458.5,59796,62287.5,79787,1.28752199
1726743960000,62287.5,63495.5,57401,59846,64701,1.06557014
1726744020000,59846,63931.5,57306,57306,81335,1.34126161
1726744080000,57306,62142.5,56473,62142.5,63318,1.06280379
1726744140000,62142.5,63453,59657.5,63453,40793,0.66449403
1726744200000,63453,63453,59653,59653,29518,0.48016275
1726744260000,59653,67101,59653,66940.5,51285,0.79227344
1726744320000,66940.5,66940.5,66940.5,66940.5,0,0
1726744380000,66940.5,66940.5,63101.5,63101.5,33919,0.52944122
1726744440000,63101.5,64266,61974.5,62097.5,44588,0.70562788
1726744500000,62097.5,62996,60573.5,60937,32326,0.51925822
1726744560000,60937,64374.5,59439,63353.5,75729,1.21989746
1726744620000,63353.5,65891.5,60822,65891.5,53762,0.85638422
1726744680000,65891.5,65891.5,61545.5,61545.5,78448,1.24347678
1726744740000,61545.5,64007,57119,59974.5,53916,0.88386068
1726744800000,59974.5,64167.5,59251.5,61241.5,56818,0.91901433
1726744860000,61241.5,65406.5,59629,61716.5,74325,1.19344958
1726744920000,61716.5,66364.5,59593.5,63362.5,71166,1.13458296
1726744980000,63362.5,63710,57603.5,57603.5,75039,1.23688129
1726745040000,57603.5,64792,57603.5,63010.5,60507,0.97134218
1726745100000,63010.5,64789.5,58577,58991,76116,1.24607764
1726745160000,58991,62486.5,58991,59971.5,57298,0.9376065
1726745220000,59971.5,62946,59971.5,62523.5,62757,1.01393306
1726745280000,62523.5,63258,59058.5,63258,66486,1.08504062
1726745340000,63258,64241,62908,64241,14740,0.23221718
1726745400000,64241,69380.5,63311.5,65739.5,51539,0.78109973
1726745460000,65739.5,67175,60802,67173.5,84487,1.31734917
1726745520000,67173.5,67991,62515.5,63240,60748,0.92293549
1726745580000,63240,65168,60839.5,60842.5,32514,0.52520178
1726745640000,60842.5,63267.5,59124.5,59124.5,65166,1.06023215
1726745700000,59124.5,64255.5,57894,64255.5,85624,1.40894132
1726745760000,64255.5,64255.5,59893,59893,60313,0.9833366
1726745820000,59893,63833.5,59893,61182,71277,1.14853062
1726745880000,61182,62290,59795.5,59795.5,70863,1.15421041
1726745940000,59795.5,62706.5,56632.5,56632.5,64033,1.08550726
1726746000000,56632.5,58923,56175,58922,57162,0.9851781
1726746060000,58922,63610,56556,63610,56002,0.95751082
1726746120000,63610,63610,53928,56091,84351,1.44517269
1726746180000,56091,58339.5,56083.5,58287,52223,0.9046469
1726746240000,58287,63212,56947.5,56947.5,94854,1.59200676
1726746300000,56947.5,61893,55995.5,61893,51156,0.84761918
1726746360000,61893,64367,59301.5,60323,77277,1.25987199
1726746420000,60323,67398.5,60323,63447,50840,0.80894295
1726746480000,63447,63981,60236,62543,75538,1.21483503
1726746540000,62543,64060,60331,60839.5,78880,1.26906668
1726746600000,60839.5,64622,60792,60792,61780,0.98308412
1726746660000,60792,63224,60691,62597.5,34692,0.55367234
1726746720000,62597.5,64322.5,60094,64322.5,45314,0.73642275
1726746780000,64322.5,65142.5,59745.5,62638.5,70303,1.13536189
1726746840000,62638.5,66710,60592,62660.5,48244,0.75794988
1726746900000,62660.5,64997.5,59852.5,62679.5,69729,1.11925687
1726746960000,62679.5,64094.5,60924.5,61227,62059,0.9917273
1726747020000,61227,63800,60917,63800,43429,0.69287452
1726747080000,63800,63813,60189,62687.5,45535,0.73097203
1726747140000,62687.5,65439,60506.5,65436.5,74512,1.18288576
1726747200000,65436.5,68054,62213.5,62213.5,31884,0.48903662
1726747260000,62213.5,65335,60969,62827.5,68517,1.08759734
1726747320000,62827.5,65340,61698,61698,35084,0.55057684
