startTime,Open,High,Low,Close,Volume,Turnover
1717863900000,69397,69397,69371.5,69371.5,200172,2.88495719
1717863960000,69371.5,69372,69370,69372,100131,1.44341557
1717864020000,69372,69372,69364.5,69369.5,170069,2.45161209
1717864080000,69369.5,69371,69369.5,69371,315,0.00454077
1717864140000,69371,69371,69369.5,69369.5,75173,1.08364506
1717864200000,69369.5,69372,69363.5,69372,194957,2.81038841
1717864260000,69372,69375,69352.5,69362,536073,7.72796652
1717864320000,69362,69364,69355,69355,100182,1.44433556
1717864380000,69355,69362.5,69355,69355.5,100116,1.44352958
1717864440000,69355.5,69367.5,69355,69361,226047,3.25895254
1717864500000,69361,69373,69361,69373,123219,1.77623354
1717864560000,69373,69376,69371.5,69371.5,229,0.00330093
1717864620000,69371.5,69381,69371.5,69374.5,400392,5.77122908
1717864680000,69374.5,69396.5,69374.5,69380.5,100229,1.44459781
1717864740000,69380.5,69396.5,69380.5,69391,207141,2.98515165
1717864800000,69391,69404,69391,69403.5,130,0.00187312
1717864860000,69403.5,69408.5,69403.5,69405.5,150,0.00216116
1717864920000,69405.5,69410,69405.5,69410,216,0.00311209
1717864980000,69410,69410,69391,69391,287066,4.13633488
1717865040000,69391,69393.5,69390,69392,337588,4.86496967
1717865100000,69392,69409,69392,69404.5,258551,3.72539246
1717865160000,69404.5,69406.5,69402.5,69406.5,34192,0.49265862
1717865220000,69406.5,69406.5,69397.5,69397.5,298395,4.29966213
1717865280000,69397.5,69403,69378.5,69378.5,261496,3.76889044
1717865340000,69378.5,69384,69378.5,69384,146,0.00210426
1717865400000,69384,69387,69368,69387,752346,10.84345277
1717865460000,69387,69396.5,69386.5,69386.5,200236,2.88557535
1717865520000,69386.5,69401.5,69386.5,69401.5,200153,2.88407571
1717865580000,69401.5,69413,69396,69399,271583,3.91325983
1717865640000,69399,69399.5,69392,69397,287643,4.14495039
1717865700000,69397,69398,69394.5,69396.5,95400,1.37469917
1717865760000,69396.5,69406,69395.5,69406,190508,2.74503505
1717865820000,69406,69416.5,69405,69416.5,287258,4.13831668
1717865880000,69416.5,69419.5,69416,69419.5,100267,1.44441244
1717865940000,69419.5,69421.5,69419,69419,53449,0.76994208
1717866000000,69419,69421.5,69419,69419.5,77945,1.12281123
1717866060000,69419.5,69419.5,69418.5,69419.5,209,0.00301067
1717866120000,69419.5,69426.5,69418.5,69423.5,549154,7.91010765
1717866180000,69423.5,69424,69401,69408,361977,5.21498697
1717866240000,69408,69419,69406.5,69419,247,0.00355819
1717866300000,69419,69432,69406.5,69432,325404,4.68713369
1717866360000,69432,69445,69420,69445,433149,6.23774063
1717866420000,69445,69460,69444.5,69460,273757,3.94169677
1717866480000,69460,69460,69457,69457,148,0.00213079
1717866540000,69457,69461.5,69457,69460,100157,1.44194817
1717866600000,69460,69460,69454,69454,100176,1.4422411
1717866660000,69454,69455.5,69450.5,69450.5,256810,3.69752359
1717866720000,69450.5,69455.5,69450.5,69450.5,217,0.00312438
1717866780000,69450.5,69455.5,69450.5,69450.5,164,0.00236127
1717866840000,69450.5,69455.5,69450.5,69455.5,144,0.00207333
1717866900000,69455.5,69467.5,69455,69467.5,386241,5.56035226
1717866960000,69467.5,69474.5,69467,69474.5,100096,1.44090391
1717867020000,69474.5,69474.5,69467,69467,183,0.00263414
