startTime,Open,High,Low,Close,Volume,Turnover
1723443900000,52074,52074,52074,52074,0,0
1723443960000,52074,52074,52074,52074,0,0
1723444020000,52074,52074,52074,52074,0,0
1723444080000,52074,52074,52074,52074,0,0
1723444140000,52074,52074,52074,52074,0,0
1723444200000,52074,52074,52074,52074,0,0
1723444260000,52074,52074,51724,51724,4,0.00007706
1723444320000,51724,52074,51724,52074,16,0.00030824
1723444380000,52074,52074,52074,52074,0,0
1723444440000,52074,52074,52074,52074,1669,0.03205054
1723444500000,52074,52074,52074,52074,0,0
1723444560000,52074,52074,52074,52074,0,0
1723444620000,52074,52074,50590,50996,3,0.00005896
1723444680000,50996,50996,50590,50590,3,0.00005912
1723444740000,50590,50996,50590,50590,14,0.00027552
1723444800000,50590,50590,50590,50590,0,0
1723444860000,50590,50590,50590,50590,0,0
1723444920000,50590,50590,50590,50590,0,0
1723444980000,50590,50590,50590,50590,0,0
1723445040000,50590,50996,50590,50590,12,0.00023552
1723445100000,50590,50996,50590,50995.5,42,0.00082416
1723445160000,50995.5,50996,50995.5,50995.5,34,0.0006664
1723445220000,50995.5,50996,50995.5,50995.5,152,0.00298
1723445280000,50995.5,50996,50995.5,50995.5,2,0.0000392
1723445340000,50995.5,50995.5,50995.5,50995.5,0,0
1723445400000,50995.5,50995.5,50995.5,50995.5,0,0
1723445460000,50995.5,50995.5,50995.5,50995.5,0,0
1723445520000,50995.5,50995.5,50995.5,50995.5,0,0
1723445580000,50995.5,50995.5,50995.5,50995.5,0,0
1723445640000,50995.5,50995.5,50995.5,50995.5,0,0
1723445700000,50995.5,50995.5,50995.5,50995.5,0,0
1723445760000,50995.5,50995.5,50995.5,50995.5,0,0
1723445820000,50995.5,50995.5,50995.5,50995.5,0,0
1723445880000,50995.5,50995.5,50995.5,50995.5,0,0
1723445940000,50995.5,50995.5,50995.5,50995.5,0,0
1723446000000,50995.5,50995.5,50995.5,50995.5,0,0
1723446060000,50995.5,50995.5,50995.5,50995.5,0,0
1723446120000,50995.5,50995.5,50995.5,50995.5,0,0
1723446180000,50995.5,50995.5,50995.5,50995.5,0,0
1723446240000,50995.5,50995.5,50995.5,50995.5,0,0
1723446300000,50995.5,50995.5,50995.5,50995.5,0,0
1723446360000,50995.5,50996,50995.5,50996,2,0.0000392
1723446420000,50996,50996,50996,50996,0,0
1723446480000,50996,50996,50996,50996,0,0
1723446540000,50996,50996,50996,50996,0,0
1723446600000,50996,50996,50996,50996,0,0
1723446660000,50996,50996,50996,50996,0,0
1723446720000,50996,50996,50996,50996,0,0
1723446780000,50996,50996,50996,50996,0,0
1723446840000,50996,50996,50996,50996,0,0
1723446900000,50996,50996,50996,50996,0,0
1723446960000,50996,50996,50996,50996,0,0
1723447020000,50996,52074,50996,52073.5,1927,0.03711891
1723447080000,52073.5,52074,52073.5,52073.5,37,0.0007104
1723447140000,52073.5,52074,51762,52074,43,0.00082584
1723447200000,52074,52074,51762,51762,138,0.00265641
1723447260000,51762,51762,51762,51762,0,0
1723447320000,51762,51762,51762,51762,0,0
1723447380000,51762,52074,51762,52074,2,0.00003851
1723447440000,52074,52074,52074,52074,0,0
1723447500000,52074,52074,52074,52074,0,0
1723447560000,52074,52074,52074,52074,0,0
1723447620000,52074,52074,52074,52074,0,0
1723447680000,52074,52074,52074,52074,0,0
1723447740000,52074,52074,52074,52074,0,0
1723447800000,52074,52074,52074,52074,0,0
1723447860000,52074,52074,51555,51555,288,0.00556956
1723447920000,51555,52074,50461,51974,16,0.00030852
1723447980000,51974,51974,51974,51974,0,0
1723448040000,51974,51974,51974,51974,0,0
1723448100000,51974,51974,51974,51974,0,0
1723448160000,51974,51974,51974,51974,0,0
1723448220000,51974,51974,51559.5,51974,3,0.00005787
1723448280000,51974,51974,51559.5,51973.5,5,0.00009635
1723448340000,51973.5,51974,51353.5,51353.5,299,0.0057992
1723448400000,51353.5,52074,51353.5,52074,1548,0.02972692
1723448460000,52074,52074,52074,52074,0,0
1723448520000,52074,52074,52074,52074,0,0
1723448580000,52074,52074,52074,52074,0,0
1723448640000,52074,52074,50896,50896,17,0.00033388
1723448700000,50896,50896.5,50491,50491,41,0.00080636
1723448760000,50491,50896.5,50491,50896.5,39,0.00076932
1723448820000,50896.5,50896.5,50491,50896,124,0.00244301
1723448880000,50896,50896.5,50896,50896,41,0.00080533
1723448940000,50896,50896,50896,50896,0,0
1723449000000,50896,50896,50896,50896,0,0
1723449060000,50896,50896,50896,50896,0,0
1723449120000,50896,50896,50896,50896,0,0
1723449180000,50896,50896,50896,50896,0,0
1723449240000,50896,50896,50896,50896,0,0
1723449300000,50896,50896,50896,50896,0,0
1723449360000,50896,50896,50896,50896,0,0
1723449420000,50896,50896,50896,50896,0,0
1723449480000,50896,50896,50896,50896,0,0
1723449540000,50896,50896,50896,50896,0,0
1723449600000,50896,52074,50896,52074,546,0.01048507
1723449660000,52074,52074,52074,52074,0,0
1723449720000,52074,52074,52074,52074,0,0
