startTime,Open,High,Low,Close,Volume,Turnover
1716183900000,67106,67106.5,67079.5,67096.5,728838,10.86405754
1716183960000,67096.5,67108,67096.5,67108,407535,6.07339374
1716184020000,67108,67114,67088.5,67090,620204,9.2427819
1716184080000,67090,67096,67087.5,67094.5,604877,9.01570808
1716184140000,67094.5,67141.5,67094.5,67136,237182,3.53363075
1716184200000,67136,67158,67136,67157,591180,8.80356567
1716184260000,67157,67162,67142,67142,560169,8.34137088
1716184320000,67142,67142.5,67131,67132,400197,5.9610797
1716184380000,67132,67137,67131,67137,100197,1.49255228
1716184440000,67137,67137,67130,67131.5,140881,2.09858709
1716184500000,67131.5,67142.5,67117.5,67117.5,350862,5.22678172
1716184560000,67117.5,67130.5,67098,67100.5,297732,4.43641755
1716184620000,67100.5,67109.5,67099.5,67109.5,489228,7.29072801
1716184680000,67109.5,67121,67104,67112,68896,1.02662056
1716184740000,67112,67131.5,67112,67131.5,511361,7.61917609
1716184800000,67131.5,67140.5,67130,67133.5,674443,10.04638502
1716184860000,67133.5,67137,67132.5,67137,398428,5.93474453
1716184920000,67137,67137,67135.5,67135.5,100138,1.4915804
1716184980000,67135.5,67136,67132.5,67134,295,0.00439415
1716185040000,67134,67134.5,67111,67129,542086,8.07599683
1716185100000,67129,67129,67078.5,67100,446966,6.66151412
1716185160000,67100,67100,67068,67087.5,585315,8.72514483
1716185220000,67087.5,67091.5,67074.5,67078,341521,5.091054
1716185280000,67078,67083.5,67078,67079,300166,4.47469479
1716185340000,67079,67080.5,67047,67062.5,656618,9.79101296
1716185400000,67062.5,67062.5,66976,66976,1573117,23.47388776
1716185460000,66976,66983.5,66923,66955.5,1193072,17.81871709
1716185520000,66955.5,66955.5,66910,66950.5,1013945,15.15101025
1716185580000,66950.5,66985.5,66950.5,66984.5,750764,11.21044921
1716185640000,66984.5,66989,66980,66989,625047,9.33131128
1716185700000,66989,67022.5,66989,67022,254933,3.80462603
1716185760000,67022,67031,67021,67021,321900,4.80269148
1716185820000,67021,67021.5,67017,67020.5,306496,4.57320232
1716185880000,67020.5,67020.5,67009,67010.5,169282,2.52610083
1716185940000,67010.5,67013.5,67002,67002.5,645087,9.62708808
1716186000000,67002.5,67008,66997,66997,248403,3.70729065
1716186060000,66997,66998.5,66991,66991,110,0.0016418
1716186120000,66991,66991,66984,66984,93,0.00138824
1716186180000,66984,66991,66980,66991,101488,1.51511702
1716186240000,66991,66991,66981,66982.5,55,0.00082104
1716186300000,66982.5,66985,66980,66985,486917,7.26936252
1716186360000,66985,66992,66985,66992,115,0.00171671
1716186420000,66992,66998,66992,66995.5,76,0.00113436
1716186480000,66995.5,67004,66995.5,67004,120,0.00179104
1716186540000,67004,67008,67004,67008,95,0.00141776
1716186600000,67008,67023,67008,67022.5,169,0.00252186
1716186660000,67022.5,67025,67017,67017.5,100187,1.49482638
