startTime,Open,High,Low,Close,Volume,Turnover
1717263900000,67629.5,67644.5,67624.5,67624.5,298250,4.40996071
1717263960000,67624.5,67624.5,67549,67559.5,1059332,15.67457962
1717264020000,67559.5,67574.5,67548,67551.5,1061355,15.71165531
1717264080000,67551.5,67561,67551.5,67556.5,410771,6.08046629
1717264140000,67556.5,67609,67537.5,67554.5,892935,13.21750416
1717264200000,67554.5,67603.5,67554.5,67603.5,600163,8.88198388
1717264260000,67603.5,67632.5,67601.5,67631,464959,6.87594865
1717264320000,67631,67654.5,67631,67649,403209,5.96045867
1717264380000,67649,67654.5,67649,67649,169,0.00249805
1717264440000,67649,67662.5,67649,67662.5,179579,2.6543607
1717264500000,67662.5,67663.5,67662,67663,100176,1.4805028
1717264560000,67663,67670,67663,67667.5,58213,0.86031175
1717264620000,67667.5,67733,67667.5,67733,1350641,19.95013305
1717264680000,67733,67748.5,67720,67733.5,1042745,15.39414838
1717264740000,67733.5,67799.5,67733.5,67779,1264977,18.66215072
1717264800000,67779,67789.5,67760,67789.5,412658,6.08877126
1717264860000,67789.5,67791.5,67762.5,67762.5,481220,7.09889904
1717264920000,67762.5,67775,67756,67757.5,412883,6.09300518
1717264980000,67757.5,67760,67755,67755,380886,5.62133029
1717265040000,67755,67756.5,67749.5,67749.5,164234,2.4240933
1717265100000,67749.5,67749.5,67737,67737,200123,2.95423503
1717265160000,67737,67742,67732,67735,137525,2.03032249
1717265220000,67735,67735.5,67726,67727.5,300271,4.43341026
1717265280000,67727.5,67727.5,67718.5,67718.5,245,0.00361762
1717265340000,67718.5,67719,67711,67711.5,263915,3.89749155
1717265400000,67711.5,67720,67709.5,67720,200174,2.95607102
1717265460000,67720,67723.5,67711,67723.5,278276,4.10907274
1717265520000,67723.5,67724.5,67719.5,67724.5,100143,1.47868207
1717265580000,67724.5,67734,67724,67724,181,0.00267243
1717265640000,67724,67734,67724,67734,153,0.00225897
1717265700000,67734,67734,67730,67730,100172,1.47899004
1717265760000,67730,67732,67699.5,67699.5,778084,11.49050755
1717265820000,67699.5,67703,67695.5,67695.5,153390,2.26576537
1717265880000,67695.5,67703,67695.5,67698,117689,1.73837224
1717265940000,67698,67703,67698,67698,189,0.00279164
1717266000000,67698,67711.5,67698,67704,319214,4.714721
1717266060000,67704,67727,67704,67727,100159,1.47917994
1717266120000,67727,67727,67712,67727,198,0.00292387
1717266180000,67727,67727,67712,67712,166,0.00245143
1717266240000,67712,67729,67712,67729,133112,1.96540365
1717266300000,67729,67729,67726.5,67726.5,272,0.00401606
1717266360000,67726.5,67729,67726.5,67729,245,0.00361741
1717266420000,67729,67732,67712,67712,338960,5.00470045
1717266480000,67712,67728,67712,67712,156,0.0023036
1717266540000,67712,67728,67708.5,67712.5,247599,3.65675595
1717266600000,67712.5,67712.5,67703,67703,106620,1.57475881
1717266660000,67703,67703.5,67701.5,67703.5,254,0.00375166
1717266720000,67703.5,67703.5,67701.5,67703.5,141,0.0020826
1717266780000,67703.5,67704,67702.5,67702.5,125262,1.85014907
1717266840000,67702.5,67704.5,67702.5,67702.5,161,0.00237799
1717266900000,67702.5,67705,67702.5,67704,74706,1.10341261
1717266960000,67704,67719.5,67702,67702.5,420554,6.21072355
1717267020000,67702.5,67702.5,67699,67699,153333,2.26486735
1717267080000,67699,67701.5,67696,67699.5,93274,1.37777514
1717267140000,67699.5,67702,67696,67702,62672,0.92573785
1717267200000,67702,67702,67699,67702,159,0.00234853
1717267260000,67702,67702,67699,67699,283,0.00418019
1717267320000,67699,67706.5,67699,67706.5,311641,4.60295224
1717267380000,67706.5,67716,67706,67706,66346,0.97990581
1717267440000,67706,67719,67706,67715.5,173949,2.56875391
1717267500000,67715.5,67727.5,67715.5,67727.5,410085,6.05520571
1717267560000,67727.5,67727.5,67719.5,67727.5,165,0.00243632
1717267620000,67727.5,67737.5,67719.5,67737.5,100241,1.48006354
1717267680000,67737.5,67737.5,67725,67727.5,332531,4.90982075
1717267740000,67727.5,67727.5,67725,67725,148,0.00218522
1717267800000,67725,67727.5,67709,67709.5,330858,4.88586309
1717267860000,67709.5,67709.5,67705,67707,165897,2.4502432
1717267920000,67707,67707,67705,67705,183,0.00270283
1717267980000,67705,67716,67705,67716,97501,1.44004292
1717268040000,67716,67716,67709.5,67711,103216,1.52439459
1717268100000,67711,67711,67709.5,67709.5,177,0.00261405
1717268160000,67709.5,67711,67709.5,67709.5,239,0.0035297
1717268220000,67709.5,67711,67709.5,67709.5,86,0.0012701
1717268280000,67709.5,67711,67706.5,67706.5,51731,0.76402297
1717268340000,67706.5,67710,67706.5,67706.5,249,0.00367752
1717268400000,67706.5,67714,67706.5,67714,125568,1.85445651
1717268460000,67714,67714,67709.5,67714,193,0.00285024
1717268520000,67714,67714,67709.5,67709.5,215,0.00317518
1717268580000,67709.5,67714,67709.5,67714,185,0.00273218
1717268640000,67714,67714,67709.5,67714,161,0.00237767
1717268700000,67714,67714,67709.5,67709.5,114,0.00168362
1717268760000,67709.5,67724,67704.5,67713,197334,2.91426217
1717268820000,67713,67713,67704.5,67713,160,0.00236294
1717268880000,67713,67713,67703,67705,100183,1.47973499
1717268940000,67705,67705,67688.5,67688.5,416154,6.14767581
1717269000000,67688.5,67692.5,67688.5,67688.5,181,0.00267396
1717269060000,67688.5,67692.5,67688.5,67692.5,278,0.00410689
1717269120000,67692.5,67697,67688,67697,448125,6.62023055
1717269180000,67697,67697,67691.5,67696,100226,1.48054151
1717269240000,67696,67696,67688.5,67688.5,369077,5.45244725
1717269300000,67688.5,67693.5,67688.5,67693.5,141,0.00208294
1717269360000,67693.5,67693.5,67688.5,67693.5,118,0.00174321
1717269420000,67693.5,67693.5,67678.5,67680,279686,4.13225881
1717269480000,67680,67680,67671,67671,324493,4.79507784
1717269540000,67671,67671.5,67659.5,67659.5,304261,4.49660694
1717269600000,67659.5,67659.5,67655.5,67657.5,90222,1.33351396
1717269660000,67657.5,67658,67652,67655.5,199240,2.94485254
1717269720000,67655.5,67658.5,67655.5,67658.5,256,0.00378376
1717269780000,67658.5,67676,67655.5,67669.5,110331,1.63046348
1717269840000,67669.5,67670,67663.5,67667.5,261787,3.86862384
1717269900000,67667.5,67671,67667.5,67667.5,158,0.00233489
1717269960000,67667.5,67691,67667.5,67670.5,78596,1.1614425
1717270020000,67670.5,67691,67670.5,67685,146,0.00215711
1717270080000,67685,67685,67684.5,67685,200,0.00295485
1717270140000,67685,67685,67685,67685,151,0.00223091
1717270200000,67685,67693,67684.5,67684.5,154409,2.28119941
1717270260000,67684.5,67693,67684.5,67684.5,213,0.00314659
1717270320000,67684.5,67698.5,67684.5,67693,260427,3.84704903
1717270380000,67693,67697.5,67675,67675,146306,2.16133853
1717270440000,67675,67692.5,67675,67692.5,144,0.00212747
1717270500000,67692.5,67692.5,67675,67675,120,0.00177284
1717270560000,67675,67692.5,67675,67675,166597,2.46168355
1717270620000,67675,67677.5,67675,67675,189,0.00279265
1717270680000,67675,67694,67675,67690.5,158299,2.33884782
1717270740000,67690.5,67696,67690.5,67693.5,251,0.00370772
1717270800000,67693.5,67701,67693.5,67696.5,136349,2.01411981
1717270860000,67696.5,67717.5,67696.5,67717.5,268148,3.96006157
1717270920000,67717.5,67733.5,67717.5,67733,144223,2.1294251
1717270980000,67733,67737.5,67733,67733,197,0.00290835
1717271040000,67733,67737.5,67733,67733,169,0.00249502
1717271100000,67733,67746,67733,67737,64574,0.95329744
1717271160000,67737,67746,67735.5,67738.5,224633,3.31618923
1717271220000,67738.5,67738.5,67729.5,67729.5,296424,4.37638663
1717271280000,67729.5,67730,67724.5,67724.5,337278,4.97994246
1717271340000,67724.5,67727,67709.5,67709.5,143768,2.12303798
1717271400000,67709.5,67713,67709.5,67713,242,0.00357396
1717271460000,67713,67713,67709.5,67712,184943,2.73137403
1717271520000,67712,67712,67709.5,67712,100173,1.47939809
1717271580000,67712,67726,67712,67726,130541,1.92757965
1717271640000,67726,67726,67722.5,67722.5,230,0.00339605
1717271700000,67722.5,67728,67722.5,67728,268433,3.96355482
1717271760000,67728,67728,67724.5,67728,209,0.00308589
1717271820000,67728,67728,67724.5,67724.5,133,0.00196377
1717271880000,67724.5,67725,67722.5,67725,76576,1.13071109
1717271940000,67725,67725,67722.5,67723.5,257257,3.79858368
1717272000000,67723.5,67723.5,67701,67702,597037,8.81704464
1717272060000,67702,67702,67700,67702,216,0.00319047
1717272120000,67702,67707,67700.5,67700.5,148007,2.18616387
1717272180000,67700.5,67707,67700.5,67707,169,0.00249606
1717272240000,67707,67707,67695.5,67701,101042,1.49254258
1717272300000,67701,67701,67691.5,67701,252821,3.73469831
1717272360000,67701,67734,67694,67732.5,696974,10.29331817
1717272420000,67732.5,67738.5,67732.5,67732.5,210,0.00310023
1717272480000,67732.5,67742,67732.5,67738,154095,2.2748591
1717272540000,67738,67738.5,67732.5,67738.5,141,0.00208155
1717272600000,67738.5,67738.5,67727,67733,73449,1.08439806
1717272660000,67733,67733,67726.5,67729.5,265,0.00391264
1717272720000,67729.5,67729.5,67726.5,67729.5,126,0.00186033
1717272780000,67729.5,67729.5,67726.5,67726.5,154,0.00227378
1717272840000,67726.5,67729.5,67685,67702.5,702963,10.38175443
1717272900000,67702.5,67702.5,67684,67684,200199,2.95783715
1717272960000,67684,67687.5,67684,67684,168,0.00248207
1717273020000,67684,67687.5,67684,67687.5,280,0.00413677
1717273080000,67687.5,67687.5,67684,67687.5,148,0.00218653
1717273140000,67687.5,67687.5,67684,67687.5,254,0.0037526
1717273200000,67687.5,67687.5,67684,67687.5,235,0.00347189
1717273260000,67687.5,67687.5,67684,67684,101,0.00149219
1717273320000,67684,67687.5,67684,67684,215,0.00317644
1717273380000,67684,67687.5,67684,67687.5,180,0.00265927
1717273440000,67687.5,67695.5,67684,67695.5,169620,2.50575949
1717273500000,67695.5,67705.5,67695,67695,100199,1.4801426
1717273560000,67695,67705.5,67695,67705.5,243,0.0035893
1717273620000,67705.5,67705.5,67695,67705.5,283,0.00418007
1717273680000,67705.5,67705.5,67695,67695,231,0.00341226
1717273740000,67695,67709.5,67695,67709.5,187824,2.77403793
1717273800000,67709.5,67709.5,67705,67709.5,165,0.00243694
1717273860000,67709.5,67709.5,67705,67705,171,0.00252555
1717273920000,67705,67709.5,67705,67709.5,100113,1.47856654
1717273980000,67709.5,67720,67709,67716.5,236312,3.48961464
1717274040000,67716.5,67720,67716.5,67716.5,148,0.00218548
1717274100000,67716.5,67727.5,67716.5,67727.5,100292,1.48096135
1717274160000,67727.5,67727.5,67719.5,67727.5,206,0.00304171
1717274220000,67727.5,67727.5,67716.5,67716.5,100295,1.48103566
1717274280000,67716.5,67720,67715.5,67718,68665,1.01399937
1717274340000,67718,67718,67715.5,67718,190,0.00280567
1717274400000,67718,67726,67715.5,67717.5,177376,2.61921527
1717274460000,67717.5,67726,67717.5,67717.5,218,0.00321903
1717274520000,67717.5,67726,67717.5,67717.5,269,0.00397213
1717274580000,67717.5,67717.5,67717.5,67717.5,184,0.00271714
1717274640000,67717.5,67727,67717.5,67727,95308,1.40725871
1717274700000,67727,67739,67727,67731.5,100196,1.47930062
1717274760000,67731.5,67743,67731.5,67731.5,522800,7.71815402
1717274820000,67731.5,67737,67721,67721,488272,7.20952482
1717274880000,67721,67725,67719,67719,35463,0.52366324
1717274940000,67719,67721.5,67714,67714,83626,1.23489715
1717275000000,67714,67719.5,67708,67708,100274,1.48085598
1717275060000,67708,67714.5,67708,67708,181,0.00267308
1717275120000,67708,67714.5,67708,67708,147,0.00217097
1717275180000,67708,67714.5,67708,67714.5,215,0.00317518
1717275240000,67714.5,67714.5,67708,67708,131,0.0019347
1717275300000,67708,67708,67708,67708,181,0.00267322
1717275360000,67708,67733,67708,67733,646235,9.54280244
1717275420000,67733,67755,67730,67752.5,293791,4.33658264
1717275480000,67752.5,67764,67752.5,67764,176,0.00259732
1717275540000,67764,67764,67752.5,67752.5,170,0.00250892
1717275600000,67752.5,67764,67752.5,67764,204,0.0030105
1717275660000,67764,67764,67750,67750,236549,3.4911147
1717275720000,67750,67750,67730,67730,462449,6.82679098
1717275780000,67730,67737.5,67730,67737.5,211,0.00311507
1717275840000,67737.5,67737.5,67730,67737.5,201,0.0029675
1717275900000,67737.5,67737.5,67729,67730.5,59365,0.87649483
1717275960000,67730.5,67730.5,67727,67729.5,78368,1.15708184
1717276020000,67729.5,67729.5,67727,67727,118,0.00174222
1717276080000,67727,67729.5,67727,67727,131,0.00193418
1717276140000,67727,67729.5,67727,67729.5,191,0.00282004
1717276200000,67729.5,67729.5,67727,67727,123,0.00181606
1717276260000,67727,67729.5,67727,67729.5,131,0.00193417
1717276320000,67729.5,67729.5,67723,67727.5,110796,1.63594927
1717276380000,67727.5,67727.5,67713.5,67723.5,257477,3.8022623
1717276440000,67723.5,67723.5,67686,67686,81032,1.19668958
1717276500000,67686,67714,67686,67700.5,293476,4.3352379
1717276560000,67700.5,67704.5,67700,67704.5,135857,2.00669689
1717276620000,67704.5,67708.5,67700,67704,200177,2.95654555
1717276680000,67704,67708.5,67704,67704,130,0.00192007
1717276740000,67704,67715,67704,67715,41541,0.61352703
1717276800000,67715,67716,67708,67716,221,0.00326372
1717276860000,67716,67716,67714.5,67714.5,218,0.00321933
1717276920000,67714.5,67716,67714.5,67714.5,194,0.0028649
1717276980000,67714.5,67720,67714.5,67720,313798,4.63388411
1717277040000,67720,67730.5,67720,67720,238667,3.52395074
1717277100000,67720,67761.5,67720,67761.5,529847,7.82031714
1717277160000,67761.5,67776.5,67760,67776.5,228,0.00336433
1717277220000,67776.5,67776.5,67760,67767,370875,5.47248574
1717277280000,67767,67771.5,67755.5,67755.5,315798,4.66053738
1717277340000,67755.5,67755.5,67749.5,67749.5,277968,4.10271057
1717277400000,67749.5,67749.5,67728.5,67729,100116,1.47774543
1717277460000,67729,67729,67727.5,67729,214,0.00315964
1717277520000,67729,67729,67727.5,67727.5,219,0.00323349
1717277580000,67727.5,67730,67727.5,67728.5,200118,2.95467541
1717277640000,67728.5,67730,67728.5,67730,166,0.00245092
1717277700000,67730,67730,67728.5,67730,188,0.00277574
1717277760000,67730,67730,67728.5,67730,320,0.00472464
1717277820000,67730,67738.5,67728.5,67738.5,353252,5.21515764
1717277880000,67738.5,67760.5,67737.5,67760.5,398619,5.883119
1717277940000,67760.5,67781,67759.5,67759.5,194,0.00286225
1717278000000,67759.5,67781,67759.5,67781,218,0.00321655
1717278060000,67781,67781,67759.5,67759.5,146,0.00215429
1717278120000,67759.5,67781,67759.5,67759.5,166,0.00244955
1717278180000,67759.5,67781,67759.5,67759.5,172,0.00253784
1717278240000,67759.5,67781,67759.5,67781,189,0.00278858
1717278300000,67781,67782,67780.5,67782,100197,1.47824608
1717278360000,67782,67782,67780.5,67782,156,0.00230151
1717278420000,67782,67782,67780.5,67780.5,196,0.00289165
1717278480000,67780.5,67782,67780.5,67780.5,176,0.00259655
1717278540000,67780.5,67782,67780.5,67780.5,246,0.00362928
1717278600000,67780.5,67782,67780.5,67780.5,425,0.00627012
1717278660000,67780.5,67782,67780.5,67780.5,173,0.00255232
1717278720000,67780.5,67782,67779.5,67779.5,393620,5.80723034
1717278780000,67779.5,67784,67731,67737,446296,6.58820693
1717278840000,67737,67737,67724,67724,100194,1.47931506
1717278900000,67724,67724.5,67711,67711,53309,0.78715098
1717278960000,67711,67724,67706,67724,352807,5.21039036
1717279020000,67724,67739.5,67723.5,67739.5,460315,6.7963042
1717279080000,67739.5,67740.5,67730.5,67739,70301,1.03781405
1717279140000,67739,67746.5,67735,67735,282149,4.16509484
1717279200000,67735,67744.5,67728,67728,187948,2.77488209
1717279260000,67728,67729,67726.5,67728,341377,5.04044421
1717279320000,67728,67728,67684,67709.5,948749,14.01445248
1717279380000,67709.5,67726.5,67709,67726.5,265331,3.9181736
1717279440000,67726.5,67731.5,67726,67726,267154,3.94443846
1717279500000,67726,67732,67726,67732,224,0.00330728
1717279560000,67732,67748.5,67726,67748.5,380864,5.62220178
1717279620000,67748.5,67753,67745,67749.5,459520,6.78275442
1717279680000,67749.5,67773.5,67748,67759,530801,7.83274797
1717279740000,67759,67770.5,67759,67759,156,0.00230211
1717279800000,67759,67762.5,67748,67762,249984,3.68936159
1717279860000,67762,67765.5,67762,67765.5,300207,4.43015832
1717279920000,67765.5,67776.5,67765.5,67776.5,173818,2.56466561
1717279980000,67776.5,67778,67769.5,67769.5,243706,3.59588827
1717280040000,67769.5,67775,67769.5,67770,100188,1.47836402
1717280100000,67770,67770,67762,67762,214,0.00315793
1717280160000,67762,67770,67762,67762,199,0.00293659
1717280220000,67762,67770,67762,67762,268,0.00395491
