startTime,Open,High,Low,Close,Volume,Turnover
1730343900000,72186.5,79186.5,72186.5,74170,50620,0.66350913
1730343960000,74170,74170,72356.5,73449,78262,1.06975317
1730344020000,73449,79451.5,67056,67059.5,85434,1.20459851
1730344080000,67059.5,72701.5,67059.5,72701.5,49085,0.68473855
1730344140000,72701.5,72701.5,72701.5,72701.5,0,0
1730344200000,72701.5,73379.5,72288,72288,49250,0.67705327
1730344260000,72288,73116,72288,72649,49525,0.68048379
1730344320000,72649,72964.5,72286,72964.5,67519,0.93051698
1730344380000,72964.5,75181,71879,73173,47102,0.64875828
1730344440000,73173,73539,71881.5,71881.5,68631,0.94663245
1730344500000,71881.5,72749,66252,72749,81566,1.14979475
1730344560000,72749,72749,71863.5,72586,47290,0.6550442
1730344620000,72586,72948.5,71504,71576.5,91073,1.26224959
1730344680000,71576.5,72649,71219,72649,61818,0.85973355
1730344740000,72649,72851.5,71767.5,71859.5,82706,1.14566266
1730344800000,71859.5,74360,68643.5,71418.5,46126,0.64658093
1730344860000,71418.5,74275.5,69251,74275.5,86936,1.21405881
1730344920000,74275.5,75200.5,69247.5,72345.5,84400,1.17289604
1730344980000,72345.5,72707.5,69451.5,72229.5,65129,0.90191437
1730345040000,72229.5,72952.5,72226.5,72952.5,66732,0.92115853
1730345100000,72952.5,75871,71865.5,72984.5,34624,0.46866009
1730345160000,72984.5,74771,69364.5,69364.5,76914,1.06264735
1730345220000,69364.5,74328,68951.5,71622,81424,1.12829721
1730345280000,71622,72703.5,71622,72268.5,65437,0.90485949
1730345340000,72268.5,74970.5,71907,74970,47957,0.66164154
1730345400000,74970,78726,69466.5,72620.5,57210,0.79257903
1730345460000,72620.5,72620.5,71276,71276,75574,1.05067932
1730345520000,71276,74400,71094.5,71094.5,83318,1.16076673
1730345580000,71094.5,72372.5,70939.5,72372.5,79130,1.10658214
1730345640000,72372.5,72388,70738,70738,90232,1.2658675
1730345700000,70738,71806,68934,70593,79608,1.12557108
1730345760000,70593,71846,70593,71846,45458,0.63515369
1730345820000,71846,74529,68972.5,72021,108371,1.5348971
1730345880000,72021,75010,69467,72009.5,49134,0.6844221
1730345940000,72009.5,81004.5,72009.5,77882,90037,1.19846633
1730346000000,77882,77882,72262.5,72262.5,97587,1.3267061
1730346060000,72262.5,73722,70773.5,72323.5,80806,1.11553214
1730346120000,72323.5,75933,72323.5,73909,57712,0.78479509
1730346180000,73909,75723.5,70243,70243,84108,1.14964557
1730346240000,70243,75213.5,69948,72369.5,54841,0.7627229
1730346300000,72369.5,75268,71649.5,73779.5,80507,1.10569914
1730346360000,73779.5,73779.5,67999,72246,86041,1.21026253
1730346420000,72246,78380.5,72246,78378,52299,0.70658677
1730346480000,78378,78378,71749,71749,51915,0.71640213
1730346540000,71749,75246.5,71749,73074,50903,0.69078887
1730346600000,73074,76377.5,72347,73318.5,47931,0.64452048
1730346660000,73318.5,73320.5,70387.5,72484.5,97948,1.34808392
1730346720000,72484.5,75384,71763,72368.5,66131,0.90991893
1730346780000,72368.5,72371.5,71418,72136,105502,1.46565347
1730346840000,72136,75268.5,71633.5,71633.5,82821,1.14410208
1730346900000,71633.5,73268,71633.5,73268,62833,0.8652737
1730346960000,73268,76198,72012.5,72736.5,33169,0.4490063
1730347020000,72736.5,73100,71652.5,73100,65130,0.90045161
1730347080000,73100,74643.5,71775.5,74643,64380,0.88775798
1730347140000,74643,76027.5,72681.5,76027.5,52274,0.71457955
1730347200000,76027.5,76027.5,69228,72336,70962,0.98027545
1730347260000,72336,72850.5,71765,72850.5,74858,1.0350589
1730347320000,72850.5,72850.5,71678,71678,44978,0.62302043
1730347380000,71678,75149,68814,75149,75647,1.05337385
1730347440000,75149,75149,69261.5,69264.5,64402,0.90192077
1730347500000,69264.5,72418.5,69264.5,72418.5,72346,1.00343088
1730347560000,72418.5,72418.5,68688.5,71319,66545,0.92896388
1730347620000,71319,72580.5,71319,72580.5,91271,1.26769689
1730347680000,72580.5,72580.5,71757.5,71757.5,18467,0.25686237
1730347740000,71757.5,72478.5,71391,72469,63473,0.88323051
1730347800000,72469,74996.5,71391,74996.5,56885,0.77132277
1730347860000,74996.5,75556.5,72142,72867,62224,0.85230975
1730347920000,72867,72867,68913,71798,44436,0.6216058
1730347980000,71798,72882.5,71798,72882.5,32987,0.45444396
1730348040000,72882.5,73083,69116,69119.5,62423,0.86952834
1730348100000,69119.5,72130,69119.5,71769,15056,0.20878985
1730348160000,71769,79521.5,69991,79518,54793,0.7469328
1730348220000,79518,79518,72056,76341,66809,0.90134046
1730348280000,76341,76341,69103.5,72227.5,49038,0.68677527
1730348340000,72227.5,72853.5,72227.5,72853.5,44901,0.61815749
1730348400000,72853.5,73244,70316.5,70318,68292,0.94386627
1730348460000,70318,73209.5,70314,72107,65988,0.90953666
1730348520000,72107,72831.5,68877,68880.5,47046,0.66134056
1730348580000,68880.5,72646.5,68880.5,71564,45697,0.63463122
1730348640000,71564,72340.5,71564,72340.5,31618,0.43920317
1730348700000,72340.5,72702,71262.5,72496,81306,1.12666698
1730348760000,72496,72858.5,68559.5,72287.5,77515,1.08604033
1730348820000,72287.5,72649,71305,71548,78608,1.09200138
1730348880000,71548,72126.5,71051.5,71051.5,66898,0.9357411
1730348940000,71051.5,74765.5,68339,74765.5,49808,0.69254792
1730349000000,74765.5,74765.5,71774.5,71778.5,49217,0.68570033
1730349060000,71778.5,72726.5,71774.5,72726.5,33719,0.46604662
1730349120000,72726.5,74642,69818.5,71979,50252,0.69702766
1730349180000,71979,75987.5,71870.5,72915.5,65429,0.89206062
1730349240000,72915.5,74706,71829,74706,54445,0.74375689
1730349300000,74706,75299.5,67854.5,67858,80391,1.12170231
1730349360000,67858,76571,67858,72995,80848,1.10460579
1730349420000,72995,75534.5,70071.5,72845,66732,0.91353259
1730349480000,72845,74186,72120.5,73082.5,97956,1.33971671
1730349540000,73082.5,74186,70281,72540.5,81294,1.11345721
1730349600000,72540.5,73115,71667,73115,60879,0.84055492
1730349660000,73115,79447.5,72147,72147,88161,1.19742807
1730349720000,72147,75217.5,71965.5,72296.5,94378,1.29394698
1730349780000,72296.5,75188,70450.5,72771,65128,0.89160118
1730349840000,72771,75309,71685.5,71685.5,53025,0.7287541
