startTime,Open,High,Low,Close,Volume,Turnover
1714023900000,64268,64298,64262.5,64298,1234332,19.20026021
1714023960000,64298,64329.5,64297.5,64329.5,773125,12.02125245
1714024020000,64329.5,64334.5,64289,64321,952378,14.8082168
1714024080000,64321,64321,64310,64310,78956,1.22773156
1714024140000,64310,64312.5,64268.5,64268.5,588293,9.14913492
1714024200000,64268.5,64268.5,64248,64248,601799,9.36540539
1714024260000,64248,64248,64230,64230,209787,3.26565766
1714024320000,64230,64230.5,64229,64230.5,79735,1.24140082
1714024380000,64230.5,64230.5,64220,64220,100151,1.55928011
1714024440000,64220,64220.5,64217,64219.5,284879,4.43604822
1714024500000,64219.5,64220.5,64198,64205.5,355965,5.54353204
1714024560000,64205.5,64206.5,64198,64206,100182,1.56030937
1714024620000,64206,64209.5,64199.5,64206.5,111963,1.74387036
1714024680000,64206.5,64206.5,64190,64199.5,168069,2.61815642
1714024740000,64199.5,64199.5,64190,64199.5,143,0.00222749
1714024800000,64199.5,64199.5,64164,64164,520392,8.10767097
1714024860000,64164,64169,64164,64169,164,0.00255574
1714024920000,64169,64169,64166.5,64169,54303,0.84626849
1714024980000,64169,64184,64165.5,64184,287006,4.47236973
1714025040000,64184,64194,64167.5,64183.5,255964,3.98763424
1714025100000,64183.5,64194,64183.5,64183.5,237,0.00369212
1714025160000,64183.5,64194,64183.5,64193.5,100245,1.56159494
1714025220000,64193.5,64218,64193.5,64218,200093,3.11598536
1714025280000,64218,64246,64217.5,64246,577248,8.98701319
1714025340000,64246,64250,64246,64248.5,211414,3.29051429
1714025400000,64248.5,64270,64248.5,64270,542045,8.43472199
1714025460000,64270,64285,64267.5,64285,214960,3.34396211
1714025520000,64285,64305,64281.5,64305,407552,6.3383457
1714025580000,64305,64308.5,64300.5,64302,475001,7.38689814
1714025640000,64302,64302,64280.5,64280.5,141697,2.20427163
1714025700000,64280.5,64281.5,64259,64277.5,297450,4.62798324
1714025760000,64277.5,64277.5,64261.5,64263,150037,2.33477506
1714025820000,64263,64263,64260.5,64263,179,0.00278544
1714025880000,64263,64263,64260.5,64263,93,0.00144719
1714025940000,64263,64272,64252,64262.5,201815,3.14043958
1714026000000,64262.5,64272,64262.5,64265.5,175894,2.73672485
1714026060000,64265.5,64275,64265.5,64275,75900,1.18091339
1714026120000,64275,64275,64271.5,64273,155909,2.42570968
1714026180000,64273,64273.5,64265.5,64265.5,51594,0.80282549
1714026240000,64265.5,64267.5,64260,64266,231221,3.59786745
1714026300000,64266,64267.5,64266,64266,101751,1.58327843
1714026360000,64266,64266,64258.5,64259,100183,1.55905009
1714026420000,64259,64266,64258.5,64266,100224,1.55966879
1714026480000,64266,64266,64258.5,64258.5,252,0.00392148
1714026540000,64258.5,64266,64258.5,64265.5,79287,1.23373174
1714026600000,64265.5,64307,64265.5,64279,506399,7.87757644
1714026660000,64279,64320,64279,64320,353271,5.49275797
1714026720000,64320,64331,64320,64329,190309,2.95837347
1714026780000,64329,64347,64317.5,64340.5,480709,7.4727136
1714026840000,64340.5,64350.5,64340.5,64350.5,154352,2.39865799
