startTime,Open,High,Low,Close,Volume,Turnover
1731003900000,72726,75381.5,72000.5,75381.5,74825,1.03087522
1731003960000,75381.5,75416.5,71844,72184,97825,1.34817751
1731004020000,72184,73274,68951.5,68954,74044,1.02913807
1731004080000,68954,72911,68954,71977.5,87811,1.21292873
1731004140000,71977.5,74482,69094.5,69094.5,104002,1.42676911
1731004200000,69094.5,72978,69094.5,72978,80589,1.11183345
1731004260000,72978,75012,71766,71868,94698,1.31057862
1731004320000,71868,72734.5,69937,72035.5,98262,1.36631423
1731004380000,72035.5,75290.5,71318.5,71577,78859,1.08863005
1731004440000,71577,72541.5,69087.5,71854.5,134013,1.90632417
1731004500000,71854.5,74721,69067,69067,297264,4.23626028
1731004560000,69067,77105.5,69067,75941,109929,1.48018078
1731004620000,75941,78977,72636,75117.5,99078,1.31790908
1731004680000,75117.5,78546.5,73549.5,76641.5,99719,1.31311028
1731004740000,76641.5,76644.5,72839.5,72839.5,71226,0.93565217
1731004800000,72839.5,77060.5,70622.5,76376.5,123889,1.66013521
1731004860000,76376.5,78640.5,74452.5,75714,70983,0.9298701
1731004920000,75714,77826,71604,76528,68067,0.9117934
1731004980000,76528,79859,76407,76868.5,85662,1.11165418
1731005040000,76868.5,77253,75723,77253,79486,1.04066021
1731005100000,77253,81905.5,76117,79158,83485,1.06250051
1731005160000,79158,79158,75965.5,76537,76515,1.00108987
1731005220000,76537,77120.5,74030.5,77120.5,98964,1.29518761
1731005280000,77120.5,77781.5,76241,77781.5,96316,1.25124486
1731005340000,77781.5,77781.5,76241,76659,48256,0.62826286
1731005400000,76659,77510,76356.5,76679.5,65791,0.85291346
1731005460000,76679.5,77837.5,76679.5,76995,97313,1.25904204
1731005520000,76995,77769,76450.5,76450.5,55687,0.72566972
1731005580000,76450.5,77607,76450.5,76567,67979,0.88209473
1731005640000,76567,76956,76184,76956,97297,1.27126905
1731005700000,76956,77340.5,75809,77245.5,79272,1.02988524
1731005760000,77245.5,80339,67032,76628.5,712583,9.58114726
1731005820000,76628.5,79491,75616,77707,241327,3.12798911
1731005880000,77707,77707,73488.5,77536,83764,1.09649395
1731005940000,77536,79776.5,76429.5,76785,83859,1.08356419
1731006000000,76785,79457,76389.5,76389.5,97659,1.26576747
1731006060000,76389.5,80644,76274,76471,80943,1.04515106
1731006120000,76471,80648.5,76471,77151,85110,1.09877408
1731006180000,77151,78316,75184,76332.5,56944,0.73998123
1731006240000,76332.5,77286,71666.5,76248,98642,1.31048361
1731006300000,76248,77277,76127.5,77277,101769,1.32703552
1731006360000,77277,80219.5,74187,76352,79303,1.03259509
1731006420000,76352,77431.5,76352,76474,81266,1.05620163
1731006480000,76474,79544.5,71666.5,77390,88223,1.16499946
1731006540000,77390,77390,75249.5,76030.5,96118,1.26707642
1731006600000,76030.5,77178.5,75650.5,75650.5,94179,1.23088273
1731006660000,75650.5,79940,75650.5,79940,87026,1.13431907
1731006720000,79940,80334,75995,76009.5,109356,1.41424186
1731006780000,76009.5,79053.5,76009.5,77034.5,98537,1.27584134
1731006840000,77034.5,77034.5,73585,73802.5,68987,0.91086208
1731006900000,73802.5,77143.5,73802.5,77143.5,63460,0.82630744
1731006960000,77143.5,79033.5,75994,76698.5,47148,0.60933093
